證券代號,證券名稱,成交股數,成交筆數,成交金額,開盤價,最高價,最低價,收盤價,漲跌(+/-),漲跌價差,最後揭示買價,最後揭示買量,最後揭示賣價,最後揭示賣量,本益比,Unnamed: 16
3058,立德,19909,19,153844,7.75,7.75,7.70,7.72,,0.0,7.70,1,7.72,4,0.00,
3059,華晶科,1024044,602,25651611,25.45,25.45,24.85,25.15,-,0.15,25.10,11,25.15,58,37.54,
3060,銘異,189123,113,2774807,14.70,14.85,14.60,14.65,-,0.05,14.65,10,14.75,5,0.00,
3062,建漢,478828,258,7626737,15.90,16.05,15.80,16.00,+,0.2,15.95,4,16.00,12,29.63,
3090,日電貿,980760,686,48779047,50.00,50.10,49.50,49.70,-,0.4,49.70,11,49.75,11,6.55,
3094,聯傑,3063600,660,55042036,17.75,18.15,17.70,17.85,+,0.1,17.80,8,17.85,25,34.33,
3130,一零四,3003,4,509005,169.50,169.50,169.50,169.50,,0.0,168.00,4,170.00,7,20.28,
3149,正達,156329,100,1751117,11.15,11.30,11.10,11.20,,0.0,11.20,10,11.25,5,0.00,
3164,景岳,75246,54,2060464,27.50,27.50,27.25,27.25,-,0.15,27.25,2,27.35,17,12.44,
3167,大量,114000,75,3990950,35.10,35.15,34.85,34.90,-,0.2,34.85,15,35.00,6,7.33,
3189,景碩,5763370,"3,226",224733959,38.60,39.85,38.40,39.85,+,0.55,39.85,84,39.90,31,0.00,
3209,全科,1028889,429,20542730,20.00,20.00,19.90,20.00,,0.0,19.95,31,20.00,118,14.49,
3229,晟鈦,50000,38,607050,12.10,12.25,12.10,12.10,-,0.2,12.10,4,12.20,5,0.00,
3231,緯創,11531894,"4,615",268951925,23.55,23.60,23.10,23.30,-,0.25,23.30,71,23.35,100,13.16,
3257,虹冠電,38663,28,2300513,60.00,60.00,59.40,59.50,+,0.2,59.50,1,59.70,1,119.00,
3266,昇陽,51000,24,612250,12.00,12.05,12.00,12.00,-,0.05,11.95,17,12.05,3,85.71,
3296,勝德,56200,19,850290,15.40,15.40,15.05,15.05,-,0.2,15.00,12,15.05,22,10.31,
3305,昇貿,62001,41,1314721,21.20,21.45,21.00,21.45,,0.0,21.15,2,21.45,3,24.38,
3308,聯德,4000,3,23200,5.80,5.80,5.80,5.80,-,0.17,5.79,3,5.97,3,0.00,
3311,閎暉,195344,65,2838335,14.60,14.60,14.50,14.50,-,0.1,14.50,14,14.55,2,0.00,
3312,弘憶股,688725,378,10643758,15.60,15.70,15.20,15.45,-,0.15,15.45,14,15.50,8,13.43,
3321,同泰,150000,79,1896300,12.55,12.75,12.55,12.60,+,0.05,12.60,4,12.65,6,0.00,
3338,泰碩,13120585,"7,995",801294913,58.60,63.20,58.00,62.90,+,4.1,62.80,14,62.90,64,24.10,
3346,麗清,186087,128,6848223,36.60,37.10,36.55,37.00,+,0.35,36.95,2,37.00,4,15.74,
3356,奇偶,261874,175,8186687,31.25,31.65,31.10,31.15,-,0.1,31.15,6,31.30,10,19.47,
3376,新日興,1668567,"1,234",207686442,123.00,126.50,120.50,126.00,+,5.0,125.50,11,126.00,32,17.43,
3380,明泰,5885147,"2,356",133354400,22.90,23.00,22.35,22.90,+,0.3,22.85,62,22.90,65,0.00,
3383,新世紀,219000,40,218540,0.99,1.02,0.93,1.00,+,0.07,0.95,2,1.00,19,0.00,
3406,玉晶光,10700682,"8,268",4480227733,419.50,427.50,409.00,427.50,+,10.5,427.00,1,427.50,58,57.93,
3413,京鼎,171111,161,20340709,118.00,119.50,118.00,119.00,+,1.0,119.00,20,119.50,2,9.75,
3416,融程電,18200,17,950679,52.40,52.40,52.10,52.40,,0.0,52.20,1,52.40,6,17.24,
3419,譁裕,1125002,590,18565532,16.55,16.75,16.30,16.70,+,0.1,16.65,3,16.70,44,34.79,
3432,台端,11000,7,157250,14.30,14.30,14.25,14.25,-,0.05,14.25,11,14.35,24,3.11,
3437,榮創,409207,205,6423962,15.80,15.85,15.60,15.75,-,0.05,15.70,8,15.75,3,0.00,
3443,創意,1963937,"1,642",500586961,253.50,257.50,252.00,256.50,+,5.0,256.00,5,256.50,18,36.80,
3450,聯鈞,966811,690,54051956,55.40,56.40,55.30,56.30,+,0.5,56.30,4,56.40,10,16.27,
3454,晶睿,425858,366,47696020,111.50,113.00,110.00,112.50,+,2.0,112.50,3,113.00,10,27.99,
